HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Swansea,Bournemouth,0,0,D,10,9,1,5
Tottenham,WestBrom,1,1,D,24,5,5,2
Burnley,Arsenal,0,1,A,8,17,2,2
Huddersfield,ManCity,1,2,A,4,14,0,5
Southampton,Everton,4,1,H,17,5,5,2
Brighton,CrystalPalace,0,0,D,10,10,4,4
Leicester,Tottenham,2,1,H,7,18,4,6
Watford,ManUnited,2,4,A,12,15,3,7
WestBrom,Newcastle,2,2,D,8,14,4,4
Arsenal,Huddersfield,5,0,H,21,7,7,2
Bournemouth,Burnley,1,2,A,10,10,2,4
Chelsea,Swansea,1,0,H,21,2,10,0
Everton,WestHam,4,0,H,8,7,5,3
ManCity,Southampton,2,1,H,26,7,12,2
Stoke,Liverpool,0,3,A,10,14,1,7
Arsenal,ManUnited,1,3,A,33,8,15,4
Brighton,Liverpool,1,5,A,6,12,2,6
Chelsea,Newcastle,3,1,H,23,8,9,2
Everton,Huddersfield,2,0,H,6,5,4,3
Leicester,Burnley,1,0,H,16,14,3,4
Stoke,Swansea,2,1,H,10,10,3,3
Watford,Tottenham,1,1,D,6,8,2,2
WestBrom,CrystalPalace,0,0,D,20,10,6,2
Bournemouth,Southampton,1,1,D,16,15,5,4
ManCity,WestHam,2,1,H,24,7,8,4
Burnley,Watford,1,0,H,8,11,5,2
CrystalPalace,Bournemouth,2,2,D,24,11,8,5
Huddersfield,Brighton,2,0,H,19,7,6,2
Newcastle,Leicester,2,3,A,10,13,4,5
Swansea,WestBrom,1,0,H,18,7,3,1
Tottenham,Stoke,5,1,H,20,4,11,3
WestHam,Chelsea,1,0,H,5,19,2,2
Liverpool,Everton,1,1,D,23,3,3,2
ManUnited,ManCity,1,2,A,8,14,5,7
Southampton,Arsenal,1,1,D,6,11,3,6
Burnley,Stoke,1,0,H,10,14,2,7
CrystalPalace,Watford,2,1,H,14,7,4,2
Huddersfield,Chelsea,1,3,A,7,12,2,5
Liverpool,WestBrom,0,0,D,14,6,5,1
ManUnited,Bournemouth,1,0,H,9,14,2,7
Newcastle,Everton,0,1,A,16,7,4,4
Southampton,Leicester,1,4,A,12,16,4,11
Swansea,ManCity,0,4,A,7,23,3,10
Tottenham,Brighton,2,0,H,25,7,8,4
WestHam,Arsenal,0,0,D,6,22,0,3
Arsenal,Newcastle,1,0,H,23,10,5,2
Brighton,Burnley,0,0,D,12,11,2,6
Chelsea,Southampton,1,0,H,24,6,8,2
Leicester,CrystalPalace,0,3,A,11,13,2,6
ManCity,Tottenham,4,1,H,20,7,11,2
Stoke,WestHam,0,3,A,17,14,0,7
Watford,Huddersfield,1,4,A,13,15,3,9
Bournemouth,Liverpool,0,4,A,6,21,2,7
WestBrom,ManUnited,1,2,A,12,8,5,3
Everton,Swansea,3,1,H,12,8,7,3
Arsenal,Liverpool,3,3,D,11,14,4,9
Brighton,Watford,1,0,H,14,13,3,1
Burnley,Tottenham,0,3,A,5,18,2,8
Everton,Chelsea,0,0,D,5,25,0,8
Leicester,ManUnited,2,2,D,11,19,3,6
ManCity,Bournemouth,4,0,H,14,5,5,1
Southampton,Huddersfield,1,1,D,12,10,6,3
