HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Arsenal,CrystalPalace,2,1,H,14,4,6,2
Leicester,Everton,2,2,D,11,13,3,3
ManUnited,Swansea,1,2,A,14,5,5,4
QPR,Hull,0,1,A,19,11,6,4
Stoke,AstonVilla,0,1,A,12,7,2,2
WestBrom,Sunderland,2,2,D,10,7,5,2
WestHam,Tottenham,0,1,A,18,10,4,4
Liverpool,Southampton,2,1,H,12,12,5,6
Newcastle,ManCity,0,2,A,12,13,0,5
Burnley,Chelsea,1,3,A,9,11,2,3
AstonVilla,Newcastle,0,0,D,9,11,0,4
Chelsea,Leicester,2,0,H,27,6,10,4
CrystalPalace,WestHam,1,3,A,9,17,4,8
Everton,Arsenal,2,2,D,8,13,2,3
Southampton,WestBrom,0,0,D,8,8,2,2
Swansea,Burnley,1,0,H,10,12,5,1
Hull,Stoke,1,1,D,9,19,2,3
Sunderland,ManUnited,1,1,D,11,10,3,3
Tottenham,QPR,4,0,H,18,9,5,1
ManCity,Liverpool,3,1,H,9,11,4,3
Burnley,ManUnited,0,0,D,9,7,3,2
Everton,Chelsea,3,6,A,17,12,7,8
ManCity,Stoke,0,1,A,16,7,2,2
Newcastle,CrystalPalace,3,3,D,18,12,4,7
QPR,Sunderland,1,0,H,18,16,5,6
Swansea,WestBrom,3,0,H,15,16,8,2
WestHam,Southampton,1,3,A,4,18,2,8
AstonVilla,Hull,2,1,H,11,9,4,3
Leicester,Arsenal,1,1,D,9,24,3,6
Tottenham,Liverpool,0,3,A,7,17,1,8
Arsenal,ManCity,2,2,D,15,15,6,8
Chelsea,Swansea,4,2,H,29,11,9,2
CrystalPalace,Burnley,0,0,D,14,11,3,3
Liverpool,AstonVilla,0,1,A,18,5,1,1
Southampton,Newcastle,4,0,H,10,9,7,4
Stoke,Leicester,0,1,A,24,8,4,1
Sunderland,Tottenham,2,2,D,6,15,1,6
WestBrom,Everton,0,2,A,11,11,1,4
ManUnited,QPR,4,0,H,19,9,9,2
Hull,WestHam,2,2,D,11,16,6,4
AstonVilla,Arsenal,0,3,A,6,9,2,3
Burnley,Sunderland,0,0,D,17,14,6,6
Newcastle,Hull,2,2,D,25,10,7,3
QPR,Stoke,2,2,D,21,8,5,4
Swansea,Southampton,0,1,A,5,11,2,4
WestHam,Liverpool,3,1,H,13,11,7,5
Everton,CrystalPalace,2,3,A,17,10,6,3
Leicester,ManUnited,5,3,H,15,16,5,5
ManCity,Chelsea,1,1,D,16,6,4,2
Tottenham,WestBrom,0,1,A,7,10,1,4
Arsenal,Tottenham,1,1,D,16,6,6,4
Chelsea,AstonVilla,3,0,H,17,7,8,1
CrystalPalace,Leicester,2,0,H,16,7,6,1
Hull,ManCity,2,4,A,10,20,5,6
Liverpool,Everton,1,1,D,24,11,8,5
ManUnited,WestHam,2,1,H,8,13,3,4
Southampton,QPR,2,1,H,19,10,9,2
Sunderland,Swansea,0,0,D,15,7,3,1
WestBrom,Burnley,4,0,H,20,10,6,2
Stoke,Newcastle,1,0,H,12,16,3,1
AstonVilla,ManCity,0,2,A,6,27,1,7
Hull,CrystalPalace,2,0,H,15,11,2,2
Leicester,Burnley,2,2,D,15,10,6,4
Liverpool,WestBrom,2,1,H,19,8,7,4
Sunderland,Stoke,3,1,H,8,11,3,5
Swansea,Newcastle,2,2,D,11,9,5,4
Chelsea,Arsenal,2,0,H,5,10,3,0
ManUnited,Everton,2,1,H,15,10,4,6
Tottenham,Southampton,1,0,H,9,7,4,3
WestHam,QPR,2,0,H,11,10,3,3
Arsenal,Hull,2,2,D,25,4,9,4
Burnley,WestHam,1,3,A,17,22,3,6
CrystalPalace,Chelsea,1,2,A,7,14,4,5
Everton,AstonVilla,3,0,H,15,10,6,2
ManCity,Tottenham,4,1,H,20,19,12,7
Newcastle,Leicester,1,0,H,19,7,6,2
Southampton,Sunderland,8,0,H,20,12,11,1
QPR,Liverpool,2,3,A,15,15,6,5
Stoke,Swansea,2,1,H,17,13,3,5
WestBrom,ManUnited,2,2,D,8,22,2,7
Liverpool,Hull,0,0,D,17,6,4,3
Southampton,Stoke,1,0,H,20,8,2,1
Sunderland,Arsenal,0,2,A,11,15,3,5
Swansea,Leicester,2,0,H,7,9,3,4
WestBrom,CrystalPalace,2,2,D,17,8,4,6
WestHam,ManCity,2,1,H,12,21,4,5
Burnley,Everton,1,3,A,14,15,3,6
ManUnited,Chelsea,1,1,D,19,9,7,4
Tottenham,Newcastle,1,2,A,17,8,2,2
QPR,AstonVilla,2,0,H,11,15,4,6
Arsenal,Burnley,3,0,H,32,6,13,2
Chelsea,QPR,2,1,H,18,7,8,1
Everton,Swansea,0,0,D,17,8,3,0
Hull,Southampton,0,1,A,8,10,1,3
Leicester,WestBrom,0,1,A,14,8,5,3
Newcastle,Liverpool,1,0,H,14,6,3,3
Stoke,WestHam,2,2,D,21,10,6,2
AstonVilla,Tottenham,1,2,A,12,18,1,7
ManCity,ManUnited,1,0,H,16,9,6,2
CrystalPalace,Sunderland,1,3,A,9,8,1,7
Burnley,Hull,1,0,H,14,12,3,1
Liverpool,Chelsea,1,2,A,12,15,4,5
ManUnited,CrystalPalace,1,0,H,23,6,5,1
QPR,ManCity,2,2,D,17,23,4,6
Southampton,Leicester,2,0,H,18,5,6,0
WestHam,AstonVilla,0,0,D,21,12,5,4
Sunderland,Everton,1,1,D,10,16,3,7
Swansea,Arsenal,2,1,H,11,12,5,4
Tottenham,Stoke,1,2,A,14,11,4,4
WestBrom,Newcastle,0,2,A,10,8,2,3
Arsenal,ManUnited,1,2,A,23,12,9,2
Chelsea,WestBrom,2,0,H,21,5,8,1
Everton,WestHam,2,1,H,14,14,4,3
Leicester,Sunderland,0,0,D,13,10,4,5
ManCity,Swansea,2,1,H,23,8,10,3
Newcastle,QPR,1,0,H,14,13,6,4
Stoke,Burnley,1,2,A,25,5,4,4
CrystalPalace,Liverpool,3,1,H,15,12,5,1
Hull,Tottenham,1,2,A,10,23,2,6
AstonVilla,Southampton,1,1,D,7,15,1,4
Burnley,AstonVilla,1,1,D,11,18,4,7
Liverpool,Stoke,1,0,H,16,13,3,4
ManUnited,Hull,3,0,H,12,4,6,2
QPR,Leicester,3,2,H,32,19,6,5
Sunderland,Chelsea,0,0,D,12,24,3,6
Swansea,CrystalPalace,1,1,D,18,11,4,5
WestBrom,Arsenal,0,1,A,9,17,1,5
WestHam,Newcastle,1,0,H,12,7,3,1
Southampton,ManCity,0,3,A,13,15,4,6
Tottenham,Everton,2,1,H,13,10,6,5
Burnley,Newcastle,1,1,D,12,11,2,4
CrystalPalace,AstonVilla,0,1,A,17,5,5,3
Leicester,Liverpool,1,3,A,20,11,4,3
ManUnited,Stoke,2,1,H,10,5,3,4
Swansea,QPR,2,0,H,18,5,7,1
WestBrom,WestHam,1,2,A,23,11,5,6
Arsenal,Southampton,1,0,H,19,6,8,1
Chelsea,Tottenham,3,0,H,12,10,8,2
Everton,Hull,1,1,D,13,8,5,1
Sunderland,ManCity,1,4,A,8,15,2,4
Hull,WestBrom,0,0,D,12,6,2,3
Liverpool,Sunderland,0,0,D,15,7,2,1
ManCity,Everton,1,0,H,19,9,3,2
Newcastle,Chelsea,2,1,H,9,26,3,8
QPR,Burnley,2,0,H,11,15,6,3
Stoke,Arsenal,3,2,H,13,15,4,6
Tottenham,CrystalPalace,0,0,D,14,16,3,4
AstonVilla,Leicester,2,1,H,16,10,7,4
WestHam,Swansea,3,1,H,15,11,7,2
Southampton,ManUnited,1,2,A,15,3,4,2
Arsenal,Newcastle,4,1,H,17,10,4,4
Burnley,Southampton,1,0,H,7,15,2,4
Chelsea,Hull,2,0,H,12,8,3,0
