HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Swansea,Bournemouth,2,2,D,11,16,4,4
Watford,ManUnited,1,2,A,10,13,5,6
WestBrom,Arsenal,2,1,H,4,11,1,3
Tottenham,WestHam,4,1,H,22,10,12,4
CrystalPalace,Sunderland,0,1,A,19,12,7,4
AstonVilla,Watford,2,3,A,12,14,6,6
Bournemouth,Everton,3,3,D,19,11,10,6
CrystalPalace,Newcastle,5,1,H,19,7,8,2
Leicester,ManUnited,1,1,D,7,10,3,2
ManCity,Southampton,3,1,H,16,12,9,8
Sunderland,Stoke,2,0,H,18,7,5,3
Liverpool,Swansea,1,0,H,10,8,2,0
Norwich,Arsenal,1,1,D,7,12,2,3
Tottenham,Chelsea,0,0,D,9,5,4,1
WestHam,WestBrom,1,1,D,17,7,6,3
Arsenal,Sunderland,3,1,H,16,11,7,4
Chelsea,Bournemouth,0,1,A,19,15,6,5
ManUnited,WestHam,0,0,D,21,9,1,2
Southampton,AstonVilla,1,1,D,23,9,5,2
Stoke,ManCity,2,0,H,7,11,4,4
Swansea,Leicester,0,3,A,10,16,2,5
Watford,Norwich,2,0,H,14,6,7,1
WestBrom,Tottenham,1,1,D,11,9,4,3
Newcastle,Liverpool,2,0,H,6,10,1,1
Everton,CrystalPalace,1,1,D,19,14,4,5
Bournemouth,ManUnited,2,1,H,11,11,5,5
CrystalPalace,Southampton,1,0,H,12,15,5,3
ManCity,Swansea,2,1,H,13,13,5,7
Norwich,Everton,1,1,D,9,15,2,3
Sunderland,Watford,0,1,A,14,13,2,6
WestHam,Stoke,0,0,D,22,12,9,3
AstonVilla,Arsenal,0,2,A,18,8,2,4
Liverpool,WestBrom,2,2,D,28,4,8,2
Tottenham,Newcastle,1,2,A,20,8,8,4
Leicester,Chelsea,2,1,H,9,11,5,5
Chelsea,Sunderland,3,1,H,17,11,7,3
Everton,Leicester,2,3,A,13,10,5,5
ManUnited,Norwich,1,2,A,11,6,2,4
Newcastle,AstonVilla,1,1,D,8,10,4,7
Southampton,Tottenham,0,2,A,11,13,4,6
Stoke,CrystalPalace,1,2,A,26,12,5,3
WestBrom,Bournemouth,1,2,A,6,16,2,7
Swansea,WestHam,0,0,D,21,11,2,2
Watford,Liverpool,3,0,H,6,12,5,4
Arsenal,ManCity,2,1,H,8,20,5,6
AstonVilla,WestHam,1,1,D,5,10,8,4
Bournemouth,CrystalPalace,0,0,D,10,8,4,0
Chelsea,Watford,2,2,D,17,12,2,3
Liverpool,Leicester,1,0,H,25,7,4,3
ManCity,Sunderland,4,1,H,19,11,9,3
Newcastle,Everton,0,1,A,10,20,1,7
Southampton,Arsenal,4,0,H,15,7,5,4
Stoke,ManUnited,2,0,H,13,11,3,6
Swansea,WestBrom,1,0,H,7,9,2,3
Tottenham,Norwich,3,0,H,15,11,10,3
Arsenal,Bournemouth,2,0,H,13,10,6,3
CrystalPalace,Swansea,0,0,D,10,5,2,3
Everton,Stoke,3,4,A,15,8,3,5
ManUnited,Chelsea,0,0,D,12,8,2,3
Norwich,AstonVilla,2,0,H,9,6,4,3
Watford,Tottenham,1,2,A,9,10,1,3
WestBrom,Newcastle,1,0,H,22,7,5,2
WestHam,Southampton,2,1,H,13,15,5,4
Leicester,ManCity,0,0,D,11,21,4,5
Sunderland,Liverpool,0,1,A,8,17,3,6
Arsenal,Newcastle,1,0,H,16,15,3,6
Leicester,Bournemouth,0,0,D,16,9,2,0
ManUnited,Swansea,2,1,H,19,9,6,4
Norwich,Southampton,1,0,H,10,10,1,4
Sunderland,AstonVilla,3,1,H,13,8,6,3
Watford,ManCity,1,2,A,11,16,3,5
WestBrom,Stoke,2,1,H,16,10,5,3
WestHam,Liverpool,2,0,H,18,23,10,2
CrystalPalace,Chelsea,0,3,A,8,10,4,4
Everton,Tottenham,1,1,D,12,19,3,4
