HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Swansea,CrystalPalace,5,4,H,18,12,9,4
Arsenal,Bournemouth,3,1,H,16,9,3,3
ManUnited,WestHam,1,1,D,17,6,8,2
Southampton,Everton,1,0,H,17,13,7,1
Watford,Stoke,0,1,A,11,14,2,1
CrystalPalace,Southampton,3,0,H,9,17,4,3
ManCity,Chelsea,1,3,A,14,10,5,4
Stoke,Burnley,2,0,H,10,14,4,4
Sunderland,Leicester,2,1,H,22,17,6,5
Tottenham,Swansea,5,0,H,28,1,15,0
WestBrom,Watford,3,1,H,11,17,3,5
WestHam,Arsenal,1,5,A,10,19,3,10
Bournemouth,Liverpool,4,3,H,12,10,8,3
Everton,ManUnited,1,1,D,13,10,6,2
Middlesbrough,Hull,1,0,H,16,6,4,2
Arsenal,Stoke,3,1,H,21,12,6,5
Burnley,Bournemouth,3,2,H,16,17,7,4
Hull,CrystalPalace,3,3,D,15,14,6,6
Leicester,ManCity,4,2,H,10,19,6,4
Swansea,Sunderland,3,0,H,14,11,5,2
Watford,Everton,3,2,H,11,11,6,4
Chelsea,WestBrom,1,0,H,12,6,2,1
Liverpool,WestHam,2,2,D,18,7,3,3
ManUnited,Tottenham,1,0,H,15,12,5,4
Southampton,Middlesbrough,1,0,H,14,6,3,2
Bournemouth,Leicester,1,0,H,9,12,3,4
Everton,Arsenal,2,1,H,14,9,4,3
CrystalPalace,ManUnited,1,2,A,6,16,3,6
ManCity,Watford,2,0,H,13,5,7,2
Middlesbrough,Liverpool,0,3,A,8,15,3,4
Stoke,Southampton,0,0,D,5,15,3,4
Sunderland,Chelsea,0,1,A,8,19,3,6
Tottenham,Hull,3,0,H,27,10,9,5
WestBrom,Swansea,3,1,H,13,8,4,4
WestHam,Burnley,1,0,H,20,8,7,2
CrystalPalace,Chelsea,0,1,A,6,13,2,6
Middlesbrough,Swansea,3,0,H,10,14,4,2
Stoke,Leicester,2,2,D,16,14,7,8
Sunderland,Watford,1,0,H,12,9,4,4
WestBrom,ManUnited,0,2,A,10,10,1,5
WestHam,Hull,1,0,H,18,16,6,5
Bournemouth,Southampton,1,3,A,10,14,5,8
ManCity,Arsenal,2,1,H,14,6,5,1
Tottenham,Burnley,2,1,H,30,5,9,2
Everton,Liverpool,0,1,A,6,11,1,4
Arsenal,WestBrom,1,0,H,26,3,11,1
Burnley,Middlesbrough,1,0,H,6,8,4,2
Chelsea,Bournemouth,3,0,H,14,7,4,3
Hull,ManCity,0,3,A,10,16,3,6
Leicester,Everton,0,2,A,7,8,2,3
ManUnited,Sunderland,3,1,H,26,7,9,4
Swansea,WestHam,1,4,A,14,14,7,7
Watford,CrystalPalace,1,1,D,9,10,3,4
Liverpool,Stoke,4,1,H,20,6,6,2
Southampton,Tottenham,1,4,A,9,17,2,5
Hull,Everton,2,2,D,13,20,4,7
Burnley,Sunderland,4,1,H,16,11,6,3
Chelsea,Stoke,4,2,H,18,5,7,2
Leicester,WestHam,1,0,H,12,25,4,5
Liverpool,ManCity,1,0,H,5,9,1,2
ManUnited,Middlesbrough,2,1,H,32,9,12,2
Southampton,WestBrom,1,2,A,10,7,1,3
Swansea,Bournemouth,0,3,A,14,11,5,6
Arsenal,CrystalPalace,2,0,H,22,7,7,4
Watford,Tottenham,1,4,A,6,19,2,6
Everton,Southampton,3,0,H,17,12,6,3
ManCity,Burnley,2,1,H,14,11,3,3
Middlesbrough,Leicester,0,0,D,9,10,1,4
Sunderland,Liverpool,2,2,D,10,21,5,15
WestBrom,Hull,3,1,H,8,17,5,6
WestHam,ManUnited,0,2,A,8,13,2,6
Bournemouth,Arsenal,3,3,D,12,14,6,4
CrystalPalace,Swansea,1,2,A,7,11,3,4
Stoke,Watford,2,0,H,17,9,5,2
Tottenham,Chelsea,2,0,H,9,11,2,2
Burnley,Southampton,1,0,H,9,20,3,5
Hull,Bournemouth,3,1,H,14,8,3,6
Leicester,Chelsea,0,3,A,7,8,2,3
Sunderland,Stoke,1,3,A,14,14,3,6
Swansea,Arsenal,0,4,A,12,14,3,6
Tottenham,WestBrom,4,0,H,21,3,11,0
Watford,Middlesbrough,0,0,D,12,5,5,1
WestHam,CrystalPalace,3,0,H,14,10,3,1
Everton,ManCity,4,0,H,6,13,4,5
ManUnited,Liverpool,1,1,D,9,13,3,4
Bournemouth,Watford,2,2,D,15,10,5,3
CrystalPalace,Everton,0,1,A,8,16,2,8
Liverpool,Swansea,2,3,A,16,6,5,3
ManCity,Tottenham,2,2,D,17,6,7,2
Middlesbrough,WestHam,1,3,A,11,13,2,5
Stoke,ManUnited,1,1,D,6,25,1,8
WestBrom,Sunderland,2,0,H,14,9,5,3
Arsenal,Burnley,2,1,H,24,13,8,7
Chelsea,Hull,2,0,H,9,9,5,4
Southampton,Leicester,3,0,H,20,11,7,2
Arsenal,Watford,1,2,A,20,10,5,6
Bournemouth,CrystalPalace,0,2,A,10,11,2,4
Burnley,Leicester,1,0,H,24,13,3,5
Liverpool,Chelsea,1,1,D,7,8,3,2
Middlesbrough,WestBrom,1,1,D,11,16,3,5
Sunderland,Tottenham,0,0,D,3,14,1,3
Swansea,Southampton,2,1,H,11,10,5,2
ManUnited,Hull,0,0,D,15,6,6,2
Stoke,Everton,1,1,D,14,14,7,5
WestHam,ManCity,0,4,A,6,11,1,4
Chelsea,Arsenal,3,1,H,13,9,6,5
CrystalPalace,Sunderland,0,4,A,21,10,9,7
Everton,Bournemouth,6,3,H,15,18,10,8
Hull,Liverpool,2,0,H,7,22,4,5
Southampton,WestHam,1,3,A,21,6,7,4
Tottenham,Middlesbrough,1,0,H,17,8,5,0
Watford,Burnley,2,1,H,16,11,7,7
WestBrom,Stoke,1,0,H,16,12,4,2
Leicester,ManUnited,0,3,A,11,15,1,9
ManCity,Swansea,2,1,H,17,4,5,2
Arsenal,Hull,2,0,H,17,9,7,4
Liverpool,Tottenham,2,0,H,17,7,9,2
ManUnited,Watford,2,0,H,22,9,11,3
Middlesbrough,Everton,0,0,D,9,7,3,3
Stoke,CrystalPalace,1,0,H,7,6,4,1
Sunderland,Southampton,0,4,A,6,15,1,8
WestHam,WestBrom,2,2,D,16,8,4,3
Burnley,Chelsea,1,1,D,6,13,4,2
Swansea,Leicester,2,0,H,10,9,4,1
Bournemouth,ManCity,0,2,A,5,17,1,5
Chelsea,Swansea,3,1,H,16,3,5,2
CrystalPalace,Middlesbrough,1,0,H,15,11,3,4
Everton,Sunderland,2,0,H,20,10,8,1
Hull,Burnley,1,1,D,15,10,1,3
Watford,WestHam,1,1,D,9,13,1,2
WestBrom,Bournemouth,2,1,H,13,12,4,4
Tottenham,Stoke,4,0,H,21,5,9,3
Leicester,Liverpool,3,1,H,13,17,7,7
Leicester,Hull,3,1,H,17,10,5,4
Liverpool,Arsenal,3,1,H,18,7,7,3
ManUnited,Bournemouth,1,1,D,20,3,7,1
Stoke,Middlesbrough,2,0,H,13,8,8,2
